epoch,average loss,accuracy
0.000000,72.219933,44.419998
epoch,average loss,accuracy
0.000000,72.219933,44.419998
1.000000,61.987183,52.540001
2.000000,58.872726,56.759998
3.000000,50.640610,63.540001
4.000000,50.872837,62.980000
5.000000,42.572861,70.830002
6.000000,40.122845,73.000000
7.000000,39.592125,72.889999
8.000000,37.422459,74.610001
9.000000,38.861496,72.760002
10.000000,35.577274,76.290001
11.000000,37.559200,74.699997
12.000000,35.057529,76.919998
13.000000,32.871563,78.500000
14.000000,32.990997,78.800003
15.000000,34.399307,77.169998
16.000000,33.425510,77.690002
17.000000,30.556782,80.809998
18.000000,33.974548,77.019997
19.000000,30.591633,79.709999
20.000000,32.699154,78.209999
21.000000,32.019985,78.519997
22.000000,31.098930,79.239998
23.000000,28.982267,81.339996
24.000000,30.672468,79.980003
25.000000,36.607883,74.910004
26.000000,28.098440,82.089996
27.000000,32.523224,78.139999
28.000000,31.596472,79.099998
29.000000,29.208927,80.519997
30.000000,29.268530,81.150002
31.000000,29.694313,80.070000
32.000000,29.469608,80.739998
33.000000,27.865139,82.459999
34.000000,27.661922,82.349998
35.000000,26.857473,82.870003
36.000000,28.362614,81.199997
37.000000,28.570120,81.139999
38.000000,28.887539,81.169998
39.000000,26.566490,83.550003
40.000000,28.893084,81.040001
41.000000,27.535374,82.110001
42.000000,27.135683,82.379997
43.000000,28.664545,81.489998
44.000000,26.917448,82.500000
45.000000,29.923811,80.160004
46.000000,32.553852,78.139999
47.000000,27.376701,82.500000
48.000000,28.650063,81.150002
49.000000,32.481522,79.019997
50.000000,30.008745,80.430000
51.000000,29.063620,81.050003
52.000000,33.712444,76.930000
53.000000,26.862917,82.480003
54.000000,25.861418,83.160004
55.000000,26.396315,82.940002
56.000000,27.551105,81.949997
57.000000,29.252985,80.669998
58.000000,28.630472,81.040001
59.000000,28.544184,80.870003
60.000000,27.143522,82.720001
61.000000,29.613708,80.120003
62.000000,29.358681,80.709999
63.000000,30.295412,79.389999
64.000000,27.050838,82.320000
65.000000,28.296043,81.459999
66.000000,27.446394,82.470001
67.000000,30.882324,79.650002
68.000000,26.765184,82.309998
69.000000,26.726641,82.849998
70.000000,27.229303,82.559998
71.000000,27.430202,82.029999
72.000000,24.415607,84.330002
73.000000,27.536198,81.980003
74.000000,27.530294,81.639999
75.000000,25.093204,83.980003
76.000000,26.685556,82.500000
77.000000,26.030907,83.199997
78.000000,28.413069,81.389999
79.000000,28.728437,81.190002
80.000000,28.074621,81.879997
81.000000,25.015316,84.099998
82.000000,29.669481,80.150002
83.000000,27.622351,82.139999
84.000000,27.963196,81.870003
85.000000,27.601477,81.349998
86.000000,26.989964,82.190002
87.000000,31.630049,78.519997
88.000000,25.253469,83.639999
89.000000,28.643349,80.879997
90.000000,28.958420,80.940002
91.000000,25.958437,83.769997
92.000000,31.316496,79.110001
93.000000,29.119184,80.309998
94.000000,27.395248,81.510002
95.000000,26.681295,82.489998
96.000000,28.635117,80.389999
97.000000,25.369814,83.470001
98.000000,29.056976,81.050003
99.000000,27.090811,81.650002
100.000000,24.623531,84.419998
101.000000,25.742140,83.400002
102.000000,24.628307,84.019997
103.000000,25.015598,83.760002
104.000000,27.516758,81.739998
105.000000,26.222656,82.910004
106.000000,27.513266,82.169998
107.000000,31.415579,78.790001
108.000000,26.574387,82.580002
109.000000,25.734013,83.379997
110.000000,26.885267,82.459999
111.000000,26.584108,83.040001
112.000000,35.118858,75.320000
113.000000,27.258766,81.550003
114.000000,24.763140,83.750000
115.000000,24.894018,83.839996
116.000000,23.920641,84.730003
117.000000,30.708256,79.400002
118.000000,25.656984,82.849998
119.000000,25.499096,83.570000
120.000000,26.185869,83.089996
121.000000,25.295332,83.839996
122.000000,25.149689,83.589996
123.000000,27.929174,81.489998
124.000000,31.610964,78.570000
125.000000,28.282551,80.620003
126.000000,27.784651,81.400002
127.000000,26.761370,82.580002
128.000000,28.953438,80.250000
129.000000,23.462570,84.930000
130.000000,27.693232,81.660004
131.000000,27.313877,82.540001
132.000000,25.191244,84.160004
133.000000,23.957777,84.339996
134.000000,27.492134,81.459999
135.000000,25.500559,83.180000
136.000000,28.826088,80.830002
137.000000,26.668186,82.220001
138.000000,25.159372,83.489998
139.000000,26.571503,82.620003
140.000000,27.368404,81.910004
141.000000,25.634827,83.209999
142.000000,25.219997,83.750000
143.000000,27.662416,82.260002
144.000000,28.292763,81.230003
145.000000,24.468798,84.239998
146.000000,23.931387,84.389999
147.000000,23.747799,84.849998
148.000000,25.229822,83.320000
149.000000,26.589243,82.470001
150.000000,31.647179,78.150002
151.000000,27.401169,81.849998
152.000000,26.263485,83.080002
153.000000,25.875055,82.919998
154.000000,29.923668,80.230003
155.000000,30.847158,78.599998
156.000000,31.201103,78.410004
157.000000,28.391596,81.089996
158.000000,27.200033,81.639999
159.000000,25.930735,83.790001
160.000000,29.429628,80.110001
161.000000,27.429644,81.419998
162.000000,26.895058,82.010002
163.000000,25.286455,83.809998
164.000000,27.789106,81.930000
165.000000,23.264765,85.089996
166.000000,27.178864,82.199997
167.000000,26.789591,82.599998
168.000000,26.210140,82.820000
169.000000,27.868116,81.290001
170.000000,28.681370,80.669998
171.000000,30.408138,80.040001
172.000000,29.449820,79.760002
173.000000,25.096350,83.949997
174.000000,26.142572,83.220001
175.000000,26.961500,82.269997
176.000000,25.997194,83.110001
177.000000,28.225685,81.010002
178.000000,28.522541,80.839996
179.000000,25.454781,83.040001
180.000000,24.682541,83.760002
181.000000,27.641258,81.839996
182.000000,25.873823,83.110001
183.000000,28.537815,81.139999
184.000000,24.974840,83.379997
185.000000,26.840427,81.949997
186.000000,28.263674,80.879997
187.000000,26.065205,82.900002
188.000000,26.418779,82.830002
189.000000,25.031086,83.980003
190.000000,27.516090,81.889999
191.000000,24.122953,84.540001
192.000000,25.682430,83.160004
193.000000,30.657667,79.440002
194.000000,24.786301,84.139999
195.000000,29.753431,79.820000
196.000000,25.310226,83.160004
197.000000,28.344763,80.980003
198.000000,25.600542,83.190002
199.000000,27.729685,81.339996
200.000000,18.198116,88.089996
201.000000,17.938873,88.019997
202.000000,17.326593,88.750000
203.000000,16.722162,88.900002
204.000000,16.755089,89.000000
205.000000,16.616596,88.879997
206.000000,16.970608,88.900002
207.000000,17.071663,88.690002
208.000000,16.325678,89.480003
209.000000,15.708416,89.599998
210.000000,15.871831,89.650002
211.000000,15.859916,89.959999
212.000000,16.040918,89.349998
213.000000,16.075979,89.489998
214.000000,16.220594,89.260002
215.000000,15.678508,89.669998
216.000000,15.753615,89.830002
217.000000,15.741962,89.589996
218.000000,16.568369,88.910004
219.000000,15.623796,89.989998
220.000000,16.199543,89.620003
221.000000,16.323769,89.360001
222.000000,15.687780,89.800003
223.000000,15.909736,89.599998
224.000000,15.490458,89.820000
225.000000,15.456890,89.970001
226.000000,15.788950,89.580002
227.000000,15.474038,89.830002
228.000000,15.820019,89.790001
229.000000,15.845525,89.610001
230.000000,15.237890,90.190002
231.000000,15.595742,89.769997
232.000000,15.355818,90.059998
233.000000,15.630458,89.720001
234.000000,15.753358,89.750000
235.000000,16.182859,89.480003
236.000000,15.923067,89.779999
237.000000,15.504332,89.830002
238.000000,15.661126,89.870003
239.000000,15.359205,90.010002
240.000000,15.409241,90.169998
241.000000,15.086040,90.199997
242.000000,15.457047,89.989998
243.000000,15.244341,90.300003
244.000000,15.899753,89.540001
245.000000,15.316923,90.089996
246.000000,15.422152,90.110001
247.000000,15.836770,89.660004
248.000000,15.459260,90.169998
249.000000,15.427024,89.989998
250.000000,15.425722,89.959999
251.000000,15.425021,89.970001
252.000000,15.426192,89.949997
253.000000,15.427578,89.949997
254.000000,15.424000,89.949997
255.000000,15.429330,89.959999
256.000000,15.428842,89.949997
